"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 03 00:37:20 UTC 2023","Fri Feb 03 00:37:20 UTC 2023","16","","Submit Default Delivery Report","","Submit Default Delivery Report","""before all"" hook for Submit Default Delivery Report","""before all"" hook for Submit Default Delivery Report",""
"broken","Fri Feb 03 00:37:15 UTC 2023","Fri Feb 03 00:37:15 UTC 2023","563","","RepeatForm","","RepeatForm","""before all"" hook for RepeatForm","""before all"" hook for RepeatForm",""
"broken","Fri Feb 03 00:38:34 UTC 2023","Fri Feb 03 00:38:34 UTC 2023","16","","Service worker cache","","Service worker cache","""before all"" hook for Service worker cache","""before all"" hook for Service worker cache",""
"broken","Fri Feb 03 00:38:12 UTC 2023","Fri Feb 03 00:38:12 UTC 2023","647","","manifest.json","","manifest.json","works without branding doc","works without branding doc",""
"broken","Fri Feb 03 00:37:22 UTC 2023","Fri Feb 03 00:37:22 UTC 2023","26","","Submit Enketo form","","Submit Enketo form","""before all"" hook for Submit Enketo form","""before all"" hook for Submit Enketo form",""
"broken","Fri Feb 03 00:37:32 UTC 2023","Fri Feb 03 00:37:33 UTC 2023","928","","Login and logout tests","","Login and logout tests","""after each"" hook for Login and logout tests","""after each"" hook for Login and logout tests",""
"broken","Fri Feb 03 00:38:06 UTC 2023","Fri Feb 03 00:38:06 UTC 2023","4","","Privacy policy: for an online user","","Privacy policy: for an online user","""after all"" hook for for an online user","""after all"" hook for for an online user",""
"broken","Fri Feb 03 00:38:05 UTC 2023","Fri Feb 03 00:38:06 UTC 2023","781","","Privacy policy: for an offline user","","Privacy policy: for an offline user","""before all"" hook for for an offline user","""before all"" hook for for an offline user",""
"broken","Fri Feb 03 00:38:09 UTC 2023","Fri Feb 03 00:38:09 UTC 2023","650","","purge","","purge","purging runs on sync and startup","purging runs on sync and startup",""
"broken","Fri Feb 03 00:37:40 UTC 2023","Fri Feb 03 00:37:55 UTC 2023","15019","","bfcache: login page","","bfcache: login page","""before each"" hook for bfcache","""before each"" hook for bfcache",""
